Gaucho|7|Grêmio|Avenida|Porto Alegre|Rio Grande do Sul|Arena do Grêmio|12/02/2023|14:00|VAN4|Arena do Grêmio->Estádio dos Eucaliptos|2023-02-11 15:52:00|2:38
Gaucho|7|Aimoré|Ypiranga Erechim|São Leopoldo|Rio Grande do Sul|Estádio João Corrêa da Silveira|12/02/2023|17:00|KIT2|Estádio João Corrêa da Silveira->Estádio Alfredo Jaconi|2023-02-09 21:00:00|2:30
Gaucho|7|São José RS|Juventude|Porto Alegre|Rio Grande do Sul|Estádio Francisco Novelletto Neto|13/02/2023|18:00|VAN1|Estádio Francisco Novelletto Neto->Estádio Parque Esportivo Montanha dos Vinhedos|2023-02-12 19:47:00|2:43
Gaucho|8|Novo Hamburgo|Caxias|Novo Hamburgo|Rio Grande do Sul|Estádio do Vale|16/02/2023|19:00|VAN1|Estádio Francisco Novelletto Neto->Estádio do Vale|2023-02-15 22:19:00|1:11
Gaucho|8|Juventude|Aimoré|Caxias do Sul|Rio Grande do Sul|Estádio Alfredo Jaconi|16/02/2023|19:30|VAN2|Estádio Alfredo Jaconi->Estádio Bento da Silva Freitas|2023-02-15 18:16:00|5:44
Gaucho|8|Internacional|São José RS|Porto Alegre|Rio Grande do Sul|Estádio José Pinheiro Borda|16/02/2023|19:30|VAN3|Estádio José Pinheiro Borda->Estádio Francisco Stédile|2023-02-15 21:00:00|3:00
Gaucho|8|São Luiz|Grêmio|Ijuí|Rio Grande do Sul|Estádio 19 de Outubro|18/02/2023|14:30|VAN1|Estádio do Vale->Estádio 19 de Outubro|2023-02-17 12:59:00|6:01
Gaucho|8|Avenida|Esportivo|Santa Cruz do Sul|Rio Grande do Sul|Estádio dos Eucaliptos|18/02/2023|17:00|VAN2|Estádio dos Eucaliptos->Estádio Alfredo Jaconi|2023-02-17 17:54:00|3:36
Gaucho|8|Ypiranga Erechim|Brasil de Pelotas|Erechim|Rio Grande do Sul|Estádio Olímpico Colosso da Lagoa|18/02/2023|17:00|VAN3|Estádio José Pinheiro Borda->Estádio Olímpico Colosso da Lagoa|2023-02-17 15:24:00|6:06
Gaucho|9|Brasil de Pelotas|Avenida|Pelotas|Rio Grande do Sul|Estádio Bento da Silva Freitas|24/02/2023|18:00|VAN1|Estádio Bento da Silva Freitas->Estádio 19 de Outubro|2023-02-23 15:39:00|6:51
